ts,event,job_id,queue_len,note
2025-12-31 00:05:43,enqueue,job-b76aae1d7cb3,1,kind=HOME cluster=clusterA
2025-12-31 00:05:43,queue_dequeued_by_hol,job-b76aae1d7cb3,-1,cluster=clusterA g=2 kind=HOME
2025-12-31 00:05:46,enqueue,job-115ce5bfd528,1,kind=HOME cluster=clusterB
2025-12-31 00:05:46,queue_dequeued_by_hol,job-115ce5bfd528,-1,cluster=clusterA g=2 kind=HOME
2025-12-31 00:11:31,enqueue,job-cbdb9facc5cb,1,kind=HOME cluster=clusterB
2025-12-31 00:11:31,queue_dequeued_by_hol,job-cbdb9facc5cb,-1,cluster=clusterB g=4 kind=HOME
2025-12-31 00:15:09,enqueue,job-bc0e7f2319fe,1,kind=HOME cluster=clusterA
2025-12-31 00:16:36,enqueue,job-7fc3454b48d7,2,kind=HOME cluster=clusterA
2025-12-31 00:18:10,enqueue,job-456dbf260449,3,kind=HOME cluster=clusterA
2025-12-31 00:24:12,queue_dequeued_by_hol,job-bc0e7f2319fe,-1,cluster=clusterB g=1 kind=HOME
2025-12-31 00:27:41,enqueue,job-2e97bb2c6462,1,kind=HOME cluster=clusterB
2025-12-31 00:29:16,enqueue,job-ff781756cbeb,1,kind=HOME cluster=clusterB
2025-12-31 00:30:11,enqueue,job-a990840eb515,2,kind=HOME cluster=clusterB
2025-12-31 00:40:57,enqueue,job-6c7cec60044e,2,kind=HOME cluster=clusterA
2025-12-31 00:47:33,enqueue,job-dc4a0841af78,3,kind=HOME cluster=clusterA
2025-12-31 00:50:32,enqueue,job-66b78da22eae,3,kind=HOME cluster=clusterA
2025-12-31 00:51:15,enqueue,job-b82d8f1b07ed,4,kind=HOME cluster=clusterA
2025-12-31 01:03:34,enqueue,job-dc727053b70d,4,kind=HOME cluster=clusterA
2025-12-31 01:05:14,enqueue,job-b226bd45b16f,5,kind=HOME cluster=clusterA
2025-12-31 01:13:28,enqueue,job-0e113b82c30a,6,kind=HOME cluster=clusterA
2025-12-31 01:19:43,enqueue,job-debb8e21148c,6,kind=HOME cluster=clusterA
2025-12-31 01:30:19,queue_dequeued_by_hol,job-456dbf260449,-1,cluster=clusterB g=4 kind=HOME
2025-12-31 01:41:22,enqueue,job-3034f25ce5e7,5,kind=HOME cluster=clusterA
2025-12-31 01:42:12,enqueue,job-dd428780ff18,6,kind=HOME cluster=clusterA
2025-12-31 01:42:13,queue_dequeued_by_hol,job-ff781756cbeb,-1,cluster=clusterB g=4 kind=HOME
2025-12-31 01:54:50,enqueue,job-03021a8dbf80,7,kind=HOME cluster=clusterA
2025-12-31 01:56:03,enqueue,job-e23b240d9e5a,8,kind=HOME cluster=clusterA
