ts,event,job_id,cluster,op,method,url,http_status,ok,req_id,latency_ms,req_json,resp_json
2026-01-23 18:15:17,launch_req,job-01df69813b59,clusterA,launch_or_reuse,POST,/run_task?cluster=clusterA,0,False,job-01df69813b59:59877ea54c3e:1,0.0,"{""cluster_id"": ""clusterA"", ""job_id"": ""job-01df69813b59"", ""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""world_size"": 2, ""epochs"": 20, ""batch_size_per_gpu"": 32, ""nodes"": [""node_a"", ""node_b""], ""is_backfill"": false, ""extra"": {""run_id"": ""59877ea54c3e"", ""attempt"": 1, ""resume_from_checkpoint"": null, ""reason"": ""LAUNCH"", ""forced_hol_backfill"": false, ""hol_pin"": """", ""hol_jid"": """"}}",{}
2026-01-23 18:15:17,launch_requested,job-01df69813b59,clusterA,launch_job,POST,/launch_job,0,True,job-01df69813b59-5d123b7578,0.0,"{""payload"": {""job_id"": ""job-01df69813b59"", ""cluster_id"": ""clusterA"", ""request_id"": ""job-01df69813b59-5d123b7578"", ""idempotency_key"": ""job-01df69813b59:59877ea54c3e:1"", ""nodes"": [""node_a"", ""node_b""], ""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""world_size"": 2, ""batch_size"": 32, ""batch_size_per_gpu"": 32, ""is_backfill"": false, ""run_id"": ""59877ea54c3e"", ""attempt"": 1, ""user_request"": """", ""reason"": ""LAUNCH"", ""extra"": {""run_id"": ""59877ea54c3e"", ""attempt"": 1, ""resume_from_checkpoint"": null, ""reason"": ""LAUNCH"", ""forced_hol_backfill"": false, ""hol_pin"": """", ""hol_jid"": """"}}, ""idempotency_key"": ""job-01df69813b59:59877ea54c3e:1""}","{""resp_raw"": ""None""}"
2026-01-23 18:15:17,launch_response,job-01df69813b59,clusterA,launch_job,POST,/launch_job,200,True,job-01df69813b59-5d123b7578,142.96960830688477,"{""payload"": {""job_id"": ""job-01df69813b59"", ""cluster_id"": ""clusterA"", ""request_id"": ""job-01df69813b59-5d123b7578"", ""idempotency_key"": ""job-01df69813b59:59877ea54c3e:1"", ""nodes"": [""node_a"", ""node_b""], ""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""world_size"": 2, ""batch_size"": 32, ""batch_size_per_gpu"": 32, ""is_backfill"": false, ""run_id"": ""59877ea54c3e"", ""attempt"": 1, ""user_request"": """", ""reason"": ""LAUNCH"", ""extra"": {""run_id"": ""59877ea54c3e"", ""attempt"": 1, ""resume_from_checkpoint"": null, ""reason"": ""LAUNCH"", ""forced_hol_backfill"": false, ""hol_pin"": """", ""hol_jid"": """"}}, ""retry_attempt"": 1, ""retries_total"": 3, ""idempotency_key"": ""job-01df69813b59:59877ea54c3e:1""}","{""status"": ""job_launched"", ""job_id"": ""job-01df69813b59"", ""nodes"": [""node_a"", ""node_b""], ""run_id"": ""59877ea54c3e"", ""attempt"": 1, ""master_addr"": ""163.180.117.216"", ""master_port"": 29500, ""resume_from"": null}"
2026-01-23 18:15:17,launch_resp,job-01df69813b59,clusterA,launch_or_reuse,POST,/run_task?cluster=clusterA,200,True,job-01df69813b59:59877ea54c3e:1,144.09875869750977,{},"{""status"": ""job_launched"", ""job_id"": ""job-01df69813b59"", ""nodes"": [""node_a"", ""node_b""], ""run_id"": ""59877ea54c3e"", ""attempt"": 1, ""master_addr"": ""163.180.117.216"", ""master_port"": 29500, ""resume_from"": null, ""ok"": true, ""http_status"": 200, ""status_code"": 200, ""latency_sec"": 0.14296960830688477, ""url"": ""http://localhost:8000/launch_job"", ""request_id"": ""job-01df69813b59-5d123b7578"", ""idempotency_key"": ""job-01df69813b59:59877ea54c3e:1"", ""retries"": 1}"
2026-01-23 18:15:18,launch_req,job-c917ee3805aa,clusterB,launch_or_reuse,POST,/run_task?cluster=clusterB,0,False,job-c917ee3805aa:e388aad008c0:1,0.0,"{""cluster_id"": ""clusterB"", ""job_id"": ""job-c917ee3805aa"", ""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""world_size"": 1, ""epochs"": 20, ""batch_size_per_gpu"": 32, ""nodes"": [""node_e""], ""is_backfill"": false, ""extra"": {""run_id"": ""e388aad008c0"", ""attempt"": 1, ""resume_from_checkpoint"": null, ""reason"": ""LAUNCH"", ""forced_hol_backfill"": false, ""hol_pin"": """", ""hol_jid"": """"}}",{}
2026-01-23 18:15:18,launch_requested,job-c917ee3805aa,clusterB,launch_job,POST,/launch_job,0,True,job-c917ee3805aa-82598d30bb,0.0,"{""payload"": {""job_id"": ""job-c917ee3805aa"", ""cluster_id"": ""clusterB"", ""request_id"": ""job-c917ee3805aa-82598d30bb"", ""idempotency_key"": ""job-c917ee3805aa:e388aad008c0:1"", ""nodes"": [""node_e""], ""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""world_size"": 1, ""batch_size"": 32, ""batch_size_per_gpu"": 32, ""is_backfill"": false, ""run_id"": ""e388aad008c0"", ""attempt"": 1, ""user_request"": """", ""reason"": ""LAUNCH"", ""extra"": {""run_id"": ""e388aad008c0"", ""attempt"": 1, ""resume_from_checkpoint"": null, ""reason"": ""LAUNCH"", ""forced_hol_backfill"": false, ""hol_pin"": """", ""hol_jid"": """"}}, ""idempotency_key"": ""job-c917ee3805aa:e388aad008c0:1""}","{""resp_raw"": ""None""}"
2026-01-23 18:15:18,launch_response,job-c917ee3805aa,clusterB,launch_job,POST,/launch_job,200,True,job-c917ee3805aa-82598d30bb,93.22381019592285,"{""payload"": {""job_id"": ""job-c917ee3805aa"", ""cluster_id"": ""clusterB"", ""request_id"": ""job-c917ee3805aa-82598d30bb"", ""idempotency_key"": ""job-c917ee3805aa:e388aad008c0:1"", ""nodes"": [""node_e""], ""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""world_size"": 1, ""batch_size"": 32, ""batch_size_per_gpu"": 32, ""is_backfill"": false, ""run_id"": ""e388aad008c0"", ""attempt"": 1, ""user_request"": """", ""reason"": ""LAUNCH"", ""extra"": {""run_id"": ""e388aad008c0"", ""attempt"": 1, ""resume_from_checkpoint"": null, ""reason"": ""LAUNCH"", ""forced_hol_backfill"": false, ""hol_pin"": """", ""hol_jid"": """"}}, ""retry_attempt"": 1, ""retries_total"": 3, ""idempotency_key"": ""job-c917ee3805aa:e388aad008c0:1""}","{""status"": ""job_launched"", ""job_id"": ""job-c917ee3805aa"", ""nodes"": [""node_e""], ""run_id"": ""e388aad008c0"", ""attempt"": 1, ""master_addr"": ""163.180.160.62"", ""master_port"": 29501, ""resume_from"": null}"
2026-01-23 18:15:18,launch_resp,job-c917ee3805aa,clusterB,launch_or_reuse,POST,/run_task?cluster=clusterB,200,True,job-c917ee3805aa:e388aad008c0:1,94.13862228393555,{},"{""status"": ""job_launched"", ""job_id"": ""job-c917ee3805aa"", ""nodes"": [""node_e""], ""run_id"": ""e388aad008c0"", ""attempt"": 1, ""master_addr"": ""163.180.160.62"", ""master_port"": 29501, ""resume_from"": null, ""ok"": true, ""http_status"": 200, ""status_code"": 200, ""latency_sec"": 0.09322381019592285, ""url"": ""http://localhost:8000/launch_job"", ""request_id"": ""job-c917ee3805aa-82598d30bb"", ""idempotency_key"": ""job-c917ee3805aa:e388aad008c0:1"", ""retries"": 1}"
2026-01-23 18:21:02,launch_req,job-f9410b420001,clusterA,launch_or_reuse,POST,/run_task?cluster=clusterA,0,False,job-f9410b420001:922b790d7357:1,0.0,"{""cluster_id"": ""clusterA"", ""job_id"": ""job-f9410b420001"", ""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""world_size"": 1, ""epochs"": 20, ""batch_size_per_gpu"": 32, ""nodes"": [""node_c""], ""is_backfill"": false, ""extra"": {""run_id"": ""922b790d7357"", ""attempt"": 1, ""resume_from_checkpoint"": null, ""reason"": ""LAUNCH"", ""forced_hol_backfill"": false, ""hol_pin"": """", ""hol_jid"": """"}}",{}
2026-01-23 18:21:02,launch_requested,job-f9410b420001,clusterA,launch_job,POST,/launch_job,0,True,job-f9410b420001-9e08d8f9ef,0.0,"{""payload"": {""job_id"": ""job-f9410b420001"", ""cluster_id"": ""clusterA"", ""request_id"": ""job-f9410b420001-9e08d8f9ef"", ""idempotency_key"": ""job-f9410b420001:922b790d7357:1"", ""nodes"": [""node_c""], ""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""world_size"": 1, ""batch_size"": 32, ""batch_size_per_gpu"": 32, ""is_backfill"": false, ""run_id"": ""922b790d7357"", ""attempt"": 1, ""user_request"": """", ""reason"": ""LAUNCH"", ""extra"": {""run_id"": ""922b790d7357"", ""attempt"": 1, ""resume_from_checkpoint"": null, ""reason"": ""LAUNCH"", ""forced_hol_backfill"": false, ""hol_pin"": """", ""hol_jid"": """"}}, ""idempotency_key"": ""job-f9410b420001:922b790d7357:1""}","{""resp_raw"": ""None""}"
